cik,series_id,name,series,total_assets,total_liabilities,cash,file_name
0000802716,S000053579,Victory Portfolios,Victory RS Select Growth Fund,239261384.62,18657073.1,2188141.67,data/xml/10011.txt
0000802716,S000053564,Victory Portfolios,Victory RS International Fund,280479395.64,283894.1,9021906.31,data/xml/10012.txt
0000802716,S000053576,Victory Portfolios,Victory Strategic Income Fund,53738423.23,2669133.92,522113.25,data/xml/10013.txt
0000802716,S000053582,Victory Portfolios,Victory RS Science & Technology Fund,337163825.42,44160790.97,3978265.3,data/xml/10014.txt
0000802716,S000053568,Victory Portfolios,Victory Global Natural Resources Fund,161482029.56,10466767.42,5102951.77,data/xml/10015.txt
0000802716,S000046395,Victory Portfolios,Victory Munder Multi-Cap Fund,405955389.11,3834157.58,475907.18,data/xml/10016.txt
0000802716,S000046398,Victory Portfolios,Victory Integrity Small/Mid-Cap Value Fund,153599828.61,6864664.17,536887.07,data/xml/10017.txt
0000802716,S000046392,Victory Portfolios,Victory Munder Mid-Cap Core Growth Fund,1125598094.25,55878149.8,2177066.35,data/xml/10018.txt
0000802716,S000046394,Victory Portfolios,Victory Trivalent Emerging Markets Small-Cap Fund,8910911.24,75469.24,48202.76,data/xml/10019.txt
0001423227,S000061527,Allianz Funds Multi-Strategy Trust,AllianzGI Core Plus Bond Fund,67975927.48,8647533.32,1255903.45,data/xml/1002.txt
0000802716,S000046399,Victory Portfolios,Victory Trivalent International Fund - Core Equity,139848748.26,2345329.67,660705.1,data/xml/10020.txt
0000802716,S000049194,Victory Portfolios,Victory Munder Small Cap Growth Fund,12386359.95,1758727.15,274720.49,data/xml/10021.txt
0000802716,S000046396,Victory Portfolios,Victory S&P 500 Index Fund,227639799.85,1729047.37,1768771.8,data/xml/10022.txt
0000802716,S000046397,Victory Portfolios,Victory Integrity Mid-Cap Value Fund,268388246.07,7224497.27,2787081.31,data/xml/10023.txt
0000802716,S000046401,Victory Portfolios,Victory Integrity Discovery Fund,147113812.14,15913792.72,3813126.48,data/xml/10024.txt
0000802716,S000046393,Victory Portfolios,Victory Integrity Small-Cap Value Fund,2569808261.8,144257918.53,20390508.18,data/xml/10025.txt
0000802716,S000046391,Victory Portfolios,Victory INCORE Total Return Bond Fund,70621215.21,1460827.58,1496618.1,data/xml/10026.txt
0000802716,S000046400,Victory Portfolios,Victory Trivalent International Small-Cap Fund,2051089870.17,55861897.21,17723637.97,data/xml/10027.txt
0000802716,S000000787,Victory Portfolios,Victory Diversified Stock Fund,295904537.12,3398868.8,4047563.76,data/xml/10028.txt
0000802716,S000000787,Victory Portfolios,Victory Diversified Stock Fund,295904537.12,3398868.8,4047563.76,data/xml/10029.txt
0001423227,S000035102,Allianz Funds Multi-Strategy Trust,AllianzGI Retirement 2035 Fund,23740483.6,2530.67,803863.6,data/xml/1003.txt
0000802716,S000000801,Victory Portfolios,Victory Special Value Fund,53293818.71,196551.71,934079.24,data/xml/10030.txt
0000802716,S000000791,Victory Portfolios,Victory NewBridge Large Cap Growth Fund,15955314.11,150248.43,527843.28,data/xml/10031.txt
0000802716,S000000788,Victory Portfolios,Victory Sycamore Established Value Fund,12090970431.9,234358633.46,348498899.45,data/xml/10032.txt
0000802716,S000000786,Victory Portfolios,Victory INCORE Investment Grade Convertible Fund,318018076.16,13434406.62,4733910.92,data/xml/10033.txt
0000802716,S000000792,Victory Portfolios,Victory INCORE Fund for Income,705732983.33,526669.51,0.0,data/xml/10034.txt
0000802716,S000000800,Victory Portfolios,Victory Sycamore Small Company Opportunity Fund,5726679239.15,114342909.24,152731297.15,data/xml/10035.txt
0001068663,S000053589,Victory Variable Insurance Funds,Victory VIF INCORE Low Duration Bond,255584916.52,840655.95,4897142.74,data/xml/10036.txt
0001068663,S000053590,Victory Variable Insurance Funds,Victory VIF High Yield,35594849.06,4848440.08,732713.67,data/xml/10037.txt
0001068663,S000053587,Victory Variable Insurance Funds,Victory VIF Sophus Emerging Markets,45040187.15,493318.83,400017.96,data/xml/10038.txt
0001068663,S000053586,Victory Variable Insurance Funds,Victory VIF RS International,149357245.25,262130.91,3183193.96,data/xml/10039.txt
0001423227,S000035103,Allianz Funds Multi-Strategy Trust,AllianzGI Retirement 2045 Fund,16461125.65,2160.81,710400.81,data/xml/1004.txt
0001068663,S000053588,Victory Variable Insurance Funds,Victory VIF Investment Quality Bond,615279070.7,4760224.14,12090378.6,data/xml/10040.txt
0001068663,S000053585,Victory Variable Insurance Funds,Victory VIF RS Small Cap Growth Equity,119497236.22,14477485.86,2626645.49,data/xml/10041.txt
0001068663,S000000823,Victory Variable Insurance Funds,Victory VIF Diversified Stock Fund,29687219.69,56481.09,85600.38,data/xml/10042.txt
0001068663,S000053591,Victory Variable Insurance Funds,Victory VIF S&P 500 Index,100221930.45,65400.27,462426.98,data/xml/10043.txt
0001068663,S000053584,Victory Variable Insurance Funds,Victory VIF RS Large Cap Alpha,971051289.14,12135669.51,34825774.92,data/xml/10044.txt
0001589756,S000048832,Virtus Alternative Solutions Trust,Virtus Aviva Multi-Strategy Target Return Fund,39900589.55,912665.82,8983230.62,data/xml/10045.txt
0001589756,S000063645,Virtus Alternative Solutions Trust,Virtus KAR Long/Short Equity Fund,41856316.45,96339.82,8681980.81,data/xml/10046.txt
0001589756,S000050625,Virtus Alternative Solutions Trust,Virtus Duff & Phelps Select MLP and Energy Fund,5018331.75,53630.14,136072.55,data/xml/10047.txt
0001018593,S000057026,Virtus Asset Trust,Virtus Seix Investment Grade Tax-Exempt Bond Fund,313185275.83,12314860.7,33865653.16,data/xml/10048.txt
0001018593,S000057044,Virtus Asset Trust,Virtus Seix Core Bond Fund,107044276.06,2224279.57,2492689.9,data/xml/10049.txt
0001423227,S000021463,Allianz Funds Multi-Strategy Trust,AllianzGI Global Water Fund,656260196.83,1217566.24,822.13,data/xml/1005.txt
0001018593,S000057046,Virtus Asset Trust,Virtus Seix Floating Rate High Income Fund,3415967234.02,74738618.89,114859850.85,data/xml/10050.txt
0001018593,S000057045,Virtus Asset Trust,Virtus Seix Corporate Bond Fund,40577289.51,1505437.86,322297.39,data/xml/10051.txt
0001018593,S000057032,Virtus Asset Trust,Virtus Seix U.S. Government Securities Ultra-Short Bond Fund,929777208.71,26719733.25,44510803.22,data/xml/10052.txt
0001018593,S000057025,Virtus Asset Trust,Virtus Seix High Yield Fund,304503773.35,5183144.32,9167496.73,data/xml/10053.txt
0001018593,S000057029,Virtus Asset Trust,Virtus Seix Short-Term Bond Fund,8194928.94,46020.81,34256.62,data/xml/10054.txt
0001018593,S000057024,Virtus Asset Trust,Virtus Seix High Income Fund,308138296.94,12068392.31,2081611.02,data/xml/10055.txt
0001018593,S000057023,Virtus Asset Trust,Virtus Seix High Grade Municipal Bond Fund,61804961.85,2545724.71,564789.37,data/xml/10056.txt
0001018593,S000057030,Virtus Asset Trust,Virtus Seix Short-Term Municipal Bond Fund,12487162.93,188355.1,453538.29,data/xml/10057.txt
0001018593,S000057035,Virtus Asset Trust,Virtus Seix Ultra-Short Bond Fund,51043582.41,122888.83,1644644.87,data/xml/10058.txt
0001018593,S000057034,Virtus Asset Trust,Virtus Seix U.S. Mortgage Fund,21700527.51,256021.93,705915.31,data/xml/10059.txt
0001423227,S000056023,Allianz Funds Multi-Strategy Trust,AllianzGI Global High Yield Fund,25056712.79,440159.89,238595.73,data/xml/1006.txt
0001018593,S000057031,Virtus Asset Trust,Virtus Seix Total Return Bond Fund,314570931.81,7728284.3,8611060.28,data/xml/10060.txt
0001018593,S000057039,Virtus Asset Trust,Virtus SGA International Growth Fund,41705511.53,94485.41,111550.68,data/xml/10061.txt
0001018593,S000057038,Virtus Asset Trust,Virtus Silvant Small-Cap Growth Stock Fund,30209289.45,268989.05,601540.34,data/xml/10062.txt
0001018593,S000057022,Virtus Asset Trust,Virtus Ceredex Large-Cap Value Equity Fund,1310453031.85,4951838.56,32292537.05,data/xml/10063.txt
0001018593,S000057037,Virtus Asset Trust,Virtus Silvant Large-Cap Growth Stock Fund,112702725.2,4105903.87,2282638.78,data/xml/10064.txt
0001018593,S000057041,Virtus Asset Trust,Virtus Ceredex Small-Cap Value Equity Fund,556445920.23,755758.67,2581375.9,data/xml/10065.txt
0001018593,S000057040,Virtus Asset Trust,Virtus Zevenbergen Innovative Growth Stock Fund,137947221.86,602726.22,420075.07,data/xml/10066.txt
0001018593,S000057033,Virtus Asset Trust,Virtus Ceredex Mid-Cap Value Equity Fund,3719531264.92,3789552.69,69817787.16,data/xml/10067.txt
0000034273,S000021180,Virtus Equity Trust,Virtus KAR Mid-Cap Growth Fund,690347560.98,17175831.65,3287878.32,data/xml/10068.txt
0000034273,S000065704,Virtus Equity Trust,Virtus SGA Emerging Markets Growth Fund,4770971.35,4282.97,0.0,data/xml/10069.txt
0001423227,S000047250,Allianz Funds Multi-Strategy Trust,AllianzGI Global Sustainability Fund,169512098.3,226601.43,77740.59,data/xml/1007.txt
0000034273,S000021177,Virtus Equity Trust,Virtus Rampart Enhanced Core Equity Fund,146622210.37,320201.63,2387973.23,data/xml/10070.txt
0000034273,S000064774,Virtus Equity Trust,Virtus SGA Global Growth Fund,92430428.31,108083.2,161862.14,data/xml/10071.txt
0000034273,S000021170,Virtus Equity Trust,Virtus KAR Small-Cap Growth Fund,5481170618.37,17867303.21,127572996.28,data/xml/10072.txt
0000034273,S000025925,Virtus Equity Trust,Virtus KAR Mid-Cap Core Fund,529885102.96,552421.43,5845173.01,data/xml/10073.txt
0000034273,S000061485,Virtus Equity Trust,Virtus KAR Small-Mid Cap Core Fund,55727468.89,1932389.73,308522.4,data/xml/10074.txt
0000034273,S000021181,Virtus Equity Trust,Virtus KAR Small-Cap Value Fund,634060017.78,701363.55,15781805.86,data/xml/10075.txt
0000034273,S000021179,Virtus Equity Trust,Virtus Tactical Allocation Fund,616880035.5,3411551.64,3738710.21,data/xml/10076.txt
0000034273,S000001386,Virtus Equity Trust,Virtus KAR Global Quality Dividend Fund,43134376.11,794714.2,279502.49,data/xml/10077.txt
0000034273,S000021172,Virtus Equity Trust,Virtus KAR Small-Cap Core Fund,1606299177.65,1802931.28,57886482.42,data/xml/10078.txt
0000034273,S000021173,Virtus Equity Trust,Virtus KAR Capital Growth Fund,548991978.69,691454.43,4161681.74,data/xml/10079.txt
0001423227,S000043090,Allianz Funds Multi-Strategy Trust,AllianzGI Best Styles Global Equity Fund,222871582.19,137888.15,2683250.2,data/xml/1008.txt
0001005020,S000038118,Virtus Opportunities Trust,Virtus KAR International Small-Cap Fund,1929973627.41,3600942.07,31676989.47,data/xml/10080.txt
0001005020,S000042963,Virtus Opportunities Trust,Virtus KAR Emerging Markets Small-Cap Fund,129502952.91,283690.75,0.0,data/xml/10081.txt
0001005020,S000018009,Virtus Opportunities Trust,Virtus Duff & Phelps Global Infrastructure Fund,108088220.01,224127.78,0.0,data/xml/10082.txt
0001005020,S000018007,Virtus Opportunities Trust,Virtus Newfleet Multi-Sector Intermediate Bond Fund,326583304.81,8386461.33,4294322.76,data/xml/10083.txt
0001005020,S000001336,Virtus Opportunities Trust,Virtus Newfleet Core Plus Bond Fund,99523429.21,1622195.6,2165519.48,data/xml/10084.txt
0001005020,S000018005,Virtus Opportunities Trust,Virtus Newfleet High Yield Fund,63271121.4,3052587.04,2042036.32,data/xml/10085.txt
0001005020,S000055178,Virtus Opportunities Trust,Virtus Vontobel Emerging Markets Opportunities Fund,7364530995.19,52167406.21,82695301.43,data/xml/10086.txt
0001005020,S000031600,Virtus Opportunities Trust,Virtus Rampart Multi-Asset Trend Fund,49104352.09,776139.29,599723.63,data/xml/10087.txt
0001005020,S000029390,Virtus Opportunities Trust,Virtus Rampart Equity Trend Fund,309665842.64,5296089.97,2104984.43,data/xml/10088.txt
0001005020,S000018008,Virtus Opportunities Trust,Virtus Newfleet Multi-Sector Short Term Bond Fund,6455445078.15,93617013.18,81139030.54,data/xml/10089.txt
0001423227,S000059665,Allianz Funds Multi-Strategy Trust,AllianzGI PerformanceFee Structured US Fixed Income Fund,9174614.75,130807.31,41575.66,data/xml/1009.txt
0001005020,S000055180,Virtus Opportunities Trust,Virtus Newfleet Tax-Exempt Bond Fund,130048631.46,439592.44,0.0,data/xml/10090.txt
0001005020,S000018974,Virtus Opportunities Trust,Virtus Rampart Sector Trend Fund,218427751.28,12102337.09,1989930.63,data/xml/10091.txt
0001005020,S000066653,Virtus Opportunities Trust,Virtus KAR International Small-Mid Cap Fund,3500039.89,16875.62,470.92,data/xml/10092.txt
0001005020,S000038116,Virtus Opportunities Trust,Virtus Herzfeld Fund,46354062.12,748400.05,0.0,data/xml/10093.txt
0001005020,S000018970,Virtus Opportunities Trust,Virtus Duff & Phelps International Real Estate Securities Fund,56129382.78,70469.31,131335.3,data/xml/10094.txt
0001005020,S000018002,Virtus Opportunities Trust,Virtus Duff & Phelps Real Estate Securities Fund,562379959.25,1066335.67,4372630.13,data/xml/10095.txt
0001005020,S000025108,Virtus Opportunities Trust,Virtus Duff & Phelps Global Real Estate Securities Fund,257085125.07,1958151.46,3187260.5,data/xml/10096.txt
0001005020,S000038117,Virtus Opportunities Trust,Virtus Horizon Wealth Masters Fund,50112818.78,4058786.23,269831.19,data/xml/10097.txt
0001005020,S000055179,Virtus Opportunities Trust,Virtus Newfleet Low Duration Core Plus Bond Fund,490447857.22,4984912.15,2356100.77,data/xml/10098.txt
0001005020,S000018969,Virtus Opportunities Trust,Virtus Vontobel Foreign Opportunities Fund,1105210673.3,7206885.95,41280961.8,data/xml/10099.txt
0000825316,S000010447,AB VARIABLE PRODUCTS SERIES FUND INC.,AB Global Thematic Growth Portfolio,137702797.97,617769.73,237374.0,data/xml/101.txt
0001423227,S000028360,Allianz Funds Multi-Strategy Trust,AllianzGI High Yield Bond Fund,116973061.62,316373.42,818.52,data/xml/1010.txt
0001005020,S000018972,Virtus Opportunities Trust,Virtus Vontobel Global Opportunities Fund,348796621.55,429382.19,7081300.34,data/xml/10100.txt
0001005020,S000020772,Virtus Opportunities Trust,Virtus Newfleet Senior Floating Rate Fund,381557759.09,27835434.68,4893656.26,data/xml/10101.txt
0001005020,S000025110,Virtus Opportunities Trust,Virtus Vontobel Greater European Opportunities Fund,4482960.09,85477.68,110253.65,data/xml/10102.txt
0001005020,S000018976,Virtus Opportunities Trust,Virtus Rampart Alternatives Diversifier Fund,42922309.45,33626.73,600687.52,data/xml/10103.txt
0000792359,S000001949,Virtus Variable Insurance Trust,Virtus KAR Small-Cap Growth Series,105078218.37,1353551.41,2889902.52,data/xml/10104.txt
0000792359,S000001966,Virtus Variable Insurance Trust,Virtus Strategic Allocation Series,88480881.83,580411.61,968878.29,data/xml/10105.txt
0000792359,S000001962,Virtus Variable Insurance Trust,Virtus Duff & Phelps Real Estate Securities Series,78372683.79,519680.36,386930.89,data/xml/10106.txt
0000792359,S000001964,Virtus Variable Insurance Trust,Virtus Rampart Enhanced Core Equity Series,97444264.22,189178.37,1289812.02,data/xml/10107.txt
0000792359,S000002231,Virtus Variable Insurance Trust,VVIT Virtus SGA International Growth Series,149104561.35,1035381.33,0.0,data/xml/10108.txt
0000792359,S000001950,Virtus Variable Insurance Trust,Virtus Newfleet Multi-Sector Intermediate Bond Series,119342202.59,1546834.82,895604.07,data/xml/10109.txt
0001423227,S000045838,Allianz Funds Multi-Strategy Trust,AllianzGI Emerging Markets SRI Debt Fund,19757190.05,80369.49,98157.51,data/xml/1011.txt
0000792359,S000001963,Virtus Variable Insurance Trust,Virtus KAR Capital Growth Series,233136209.99,242415.42,1904641.16,data/xml/10110.txt
0000792359,S000001958,Virtus Variable Insurance Trust,Virtus KAR Small-Cap Value Series,77370298.56,97067.44,830055.11,data/xml/10111.txt
0000809064,S000002406,Voyageur Insured Funds,Delaware Tax-Free Arizona Fund,81480530.87,2555315.77,136175.62,data/xml/10112.txt
0000773675,S000002408,Voyageur Intermediate Tax Free Funds,Delaware Tax-Free Minnesota Intermediate Fund,79458711.15,130954.22,14695.43,data/xml/10113.txt
0000906236,S000002414,Voyageur Mutual Funds,Delaware Tax-Free California Fund,99815933.67,162397.01,234314.26,data/xml/10114.txt
0000906236,S000002413,Voyageur Mutual Funds,Delaware National High-Yield Municipal Bond Fund,1502803758.53,43943019.35,0.0,data/xml/10115.txt
0000906236,S000002412,Voyageur Mutual Funds,Delaware Minnesota High-Yield Municipal Bond Fund,208856565.56,304122.82,134370.09,data/xml/10116.txt
0000906236,S000002416,Voyageur Mutual Funds,Delaware Tax-Free New York Fund,88693635.26,2020278.71,675041.88,data/xml/10117.txt
0000906236,S000002415,Voyageur Mutual Funds,Delaware Tax-Free Idaho Fund,106101487.62,183583.66,0.0,data/xml/10118.txt
0000809872,S000002417,Voyageur Mutual Funds II,Delaware Tax-Free Colorado Fund,223446114.8,2008925.39,0.0,data/xml/10119.txt
0001423227,S000028364,Allianz Funds Multi-Strategy Trust,AllianzGI Micro Cap Fund,18457815.65,76193.13,388.57,data/xml/1012.txt
0000763749,S000003946,Voyageur Mutual Funds III,Delaware Select Growth Fund,301687546.24,5263665.35,0.0,data/xml/10120.txt
0000733362,S000002418,Voyageur Tax Free Funds,Delaware Tax-Free Minnesota Fund,587555138.9,779905.17,182760.27,data/xml/10121.txt
0000783316,S000007530,Value Line Core Bond Fund,VALUE LINE CORE BOND FUND,57983785.63,4067353.09,0.0,data/xml/10122.txt
0000783316,S000007530,Value Line Core Bond Fund,VALUE LINE CORE BOND FUND,57983785.63,4067353.09,0.0,data/xml/10123.txt
0000102756,S000007570,Value Line Mid Cap Focused Fund Inc.,VALUE LINE MID CAP FOCUSED FUND INC.,420595985.57,4194355.06,0.0,data/xml/10124.txt
0000102767,S000007574,Value Line Premier Growth Fund Inc.,Value Line Premier Growth Fund Inc.,487100394.92,542467.81,0.0,data/xml/10125.txt
0000895429,S000007569,Value Line Small Cap Opportunities Fund Inc.,Value Line Small Cap Opportunities Fund Inc.,468254177.47,17031923.44,0.0,data/xml/10126.txt
0000768847,S000059554,VanEck Funds,VanEck Morningstar Wide Moat Fund,9346544.13,390795.5,0.0,data/xml/10127.txt
0000768847,S000009200,VanEck Funds,Global Hard Assets Fund,710713168.62,2804657.79,0.0,data/xml/10128.txt
0000768847,S000009199,VanEck Funds,International Investors Gold Fund,734240234.44,7804280.96,19467.66,data/xml/10129.txt
0001423227,S000028359,Allianz Funds Multi-Strategy Trust,AllianzGI Convertible Fund,829165785.53,931609.43,1865.32,data/xml/1013.txt
0000768847,S000053755,VanEck Funds,VanEck NDR Managed Allocation Fund,41778629.98,2653634.64,0.0,data/xml/10130.txt
0000768847,S000029608,VanEck Funds,CM Commodity Index Fund,494833538.31,25714656.88,0.0,data/xml/10131.txt
0000768847,S000009198,VanEck Funds,Emerging Markets Fund,2290424939.71,20708914.34,99952.59,data/xml/10132.txt
0000768847,S000037153,VanEck Funds,Unconstrained Emerging Markets Bond Fund,28559080.64,1252417.49,0.0,data/xml/10133.txt
0000811976,S000009220,VanEck VIP Trust,VanEck VIP Unconstrained Emerging Markets Bond Fund,22310405.1,1074117.9,0.01,data/xml/10134.txt
0000811976,S000009222,VanEck VIP Trust,VanEck VIP Global Hard Assets Fund,264207024.6,12086813.23,20.5,data/xml/10135.txt
0000811976,S000040475,VanEck VIP Trust,VanEck VIP Global Gold Fund,39268597.28,2947605.14,214.82,data/xml/10136.txt
0000811976,S000009221,VanEck VIP Trust,VanEck VIP Emerging Markets Fund,167575024.04,1096784.83,6957.49,data/xml/10137.txt
0001137360,S000051241,VANECK VECTORS ETF TRUST,VanEck Vectors High Income MLP ETF,82169045.57,30640459.18,6820719.98,data/xml/10138.txt
0001137360,S000030045,VanEck Vectors ETF Trust,VanEck Vectors Rare Earth/Strategic Metals ETF,196431338.01,3500288.54,1281093.77,data/xml/10139.txt
0001423227,S000047029,Allianz Funds Multi-Strategy Trust,AllianzGI Emerging Markets Small-Cap Fund,8355459.0,49405.55,214459.88,data/xml/1014.txt
0001137360,S000025865,VanEck Vectors ETF Trust,VanEck Vectors ChinaAMC CSI 300 ETF,67620122.39,222000.64,237114.14,data/xml/10140.txt
0001137360,S000020424,VanEck Vectors ETF Trust,VanEck Vectors Coal ETF,27942538.59,815299.59,71361.59,data/xml/10141.txt
0001137360,S000009191,VanEck Vectors ETF Trust,VanEck Vectors Gold Miners ETF,13082808156.16,144220059.38,5788083.44,data/xml/10142.txt
0001137360,S000013721,VanEck Vectors ETF Trust,VanEck Vectors Steel ETF,72465056.38,6417943.22,156783.26,data/xml/10143.txt
0001137360,S000018475,VanEck Vectors ETF Trust,VanEck Vectors Uranium+Nuclear Energy ETF,24265030.45,1536923.68,39922.36,data/xml/10144.txt
0001137360,S000024065,VanEck Vectors ETF Trust,VanEck Vectors Indonesia Index ETF,40980230.87,154732.39,146479.57,data/xml/10145.txt
0001137360,S000024936,VanEck Vectors ETF Trust,VanEck Vectors Egypt Index ETF,31508446.91,112882.31,719066.71,data/xml/10146.txt
0001137360,S000034990,VanEck Vectors ETF Trust,VanEck Vectors Unconventional Oil & Gas ETF,20220107.88,620024.65,40856.15,data/xml/10147.txt
0001137360,S000025533,VanEck Vectors ETF Trust,VanEck Vectors Brazil Small-Cap ETF,101085626.86,3461931.37,2016089.14,data/xml/10148.txt
0001137360,S000050231,VanEck Vectors ETF Trust,VanEck Vectors Oil Refiners ETF,34894124.44,79625.04,42462.08,data/xml/10149.txt
0001423227,S000059664,Allianz Funds Multi-Strategy Trust,AllianzGI PerformanceFee Managed Futures Strategy Fund,33829991.02,725217.51,6050613.64,data/xml/1015.txt
0001137360,S000034408,VanEck Vectors ETF Trust,VanEck Vectors Oil Services ETF,835108883.72,35923168.02,0.0,data/xml/10150.txt
0001137360,S000027314,VanEck Vectors ETF Trust,VanEck Vectors India Small-Cap Index ETF,123651463.91,1614400.5,498929.62,data/xml/10151.txt
0001137360,S000016885,VanEck Vectors ETF Trust,VanEck Vectors Russia ETF,1293498069.65,6591756.42,0.0,data/xml/10152.txt
0001137360,S000022364,VanEck Vectors ETF Trust,VanEck Vectors Natural Resources ETF,73633277.59,3139898.93,23238.4,data/xml/10153.txt
0001137360,S000041167,VanEck Vectors ETF Trust,VanEck Vectors Israel ETF,58209461.36,402278.6,123884.23,data/xml/10154.txt
0001137360,S000016884,VanEck Vectors ETF Trust,VanEck Vectors Low Carbon Energy ETF,105999892.07,1289873.67,54173.43,data/xml/10155.txt
0001137360,S000031766,VanEck Vectors ETF Trust,VanEck Vectors Russia Small-Cap ETF,36706373.44,1370671.83,28830.17,data/xml/10156.txt
0001137360,S000031766,VanEck Vectors ETF Trust,VanEck Vectors Russia Small-Cap ETF,36706373.44,1370671.83,28830.17,data/xml/10157.txt
0001137360,S000022901,VanEck Vectors ETF Trust,VanEck Vectors Africa Index ETF,51749805.67,1526443.61,0.0,data/xml/10158.txt
0001137360,S000022905,VanEck Vectors ETF Trust,VanEck Vectors Vietnam ETF,444327156.05,1367988.73,1400304.19,data/xml/10159.txt
0001423227,S000035101,Allianz Funds Multi-Strategy Trust,AllianzGI Retirement 2025 Fund,20931565.83,16359.41,663913.97,data/xml/1016.txt
0001137360,S000044444,VanEck Vectors ETF Trust,VanEck Vectors ChinaAMC SME-ChiNext ETF,29876849.1,118876.81,118105.99,data/xml/10160.txt
0001137360,S000026955,VanEck Vectors ETF Trust,VanEck Vectors Junior Gold Miners ETF,5237320617.53,62623941.96,4848910.31,data/xml/10161.txt
0001137360,S000062930,VanEck Vectors ETF Trust,VanEck Vectors Video Gaming and eSports ETF,57592205.61,586018.04,91078.54,data/xml/10162.txt
0001137360,S000013722,VanEck Vectors ETF Trust,VanEck Vectors Environmental Services ETF,39991608.78,2698086.84,0.0,data/xml/10163.txt
0001137360,S000036713,VanEck Vectors ETF Trust,VanEck Vectors Morningstar Wide Moat ETF,3315122830.2,15642307.15,0.0,data/xml/10164.txt
0001137360,S000059742,VanEck Vectors ETF Trust,VanEck Vectors Real Asset Allocation ETF,32739769.3,3155125.97,15011.05,data/xml/10165.txt
0001137360,S000034406,VanEck Vectors ETF Trust,VanEck Vectors Biotech ETF,369510210.53,7203371.24,169416.1,data/xml/10166.txt
0001137360,S000034409,VanEck Vectors ETF Trust,VanEck Vectors Pharmaceutical ETF,202828045.79,1242374.91,36866.37,data/xml/10167.txt
0001137360,S000034410,VanEck Vectors ETF Trust,VanEck Vectors Retail ETF,104879656.7,75361.6,0.0,data/xml/10168.txt
0001137360,S000063090,VanEck Vectors ETF Trust,VanEck Vectors Morningstar Global Wide Moat ETF,7706434.65,20242.97,5569.72,data/xml/10169.txt
0001423227,S000047028,Allianz Funds Multi-Strategy Trust,AllianzGI Emerging Markets Consumer Fund,42799394.42,79010.04,0.0,data/xml/1017.txt
0001137360,S000054127,VanEck Vectors ETF Trust,VanEck Vectors NDR CMG Long/Flat Allocation ETF,69234241.35,57904.85,64384.59,data/xml/10170.txt
0001137360,S000020425,VanEck Vectors ETF Trust,VanEck Vectors Gaming ETF,27318675.07,60866.75,30853.52,data/xml/10171.txt
0001137360,S000049283,VanEck Vectors ETF Trust,VanEck Vectors Morningstar International Moat ETF,70441390.77,72492.01,0.0,data/xml/10172.txt
0001137360,S000034411,VanEck Vectors ETF Trust,VanEck Vectors Semiconductor ETF,1571976817.49,82905908.73,0.0,data/xml/10173.txt
0001137360,S000062396,VanEck Vectors ETF Trust,VanEck Vectors Morningstar Durable Dividend ETF,22633654.11,311170.4,244010.66,data/xml/10174.txt
